N° Certificado|Laboratorio|Nombre Comercial|Forma Farmacéutica|Presentación|Precio Venta al Público| (uso exclusivamente hospitalario - muestra médica - no venta al público)| (muestra médica - no venta al público)| (uso exclusivamente hospitalario - muestra médica)| (uso exclusivamente hospitalario - no venta al público)| (uso exclusivamente hospitalario)| (muestra médica)| (no venta al público)|GTIN|Genérico|Genérico[IFA,Cantidad,Unidad]
39769|HLB PHARMA GROUP S.A.|SOLUCION FISIOLOGICA DE CLORURO DE SODIO APOLO|SOLUCION INYECTABLE|50 ENVASE por 100 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||CLORURO DE SODIO 0.9 G / 100 ML |[['CLORURO DE SODIO', '0.9', 'G / 100 ML']]
37156|HLB PHARMA GROUP S.A.|SUERO GLUCOSADO HIPERTONICO AL 50%|SOLUCION INYECTABLE|100 AMPOLLA por 10 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||GLUCOSA 0.5 G / 1 ML |[['GLUCOSA', '0.5', 'G / 1 ML']]
37156|HLB PHARMA GROUP S.A.|SUERO GLUCOSADO HIPERTONICO AL 50%|SOLUCION INYECTABLE|50 AMPOLLA por 20 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||GLUCOSA 0.5 G / 1 ML |[['GLUCOSA', '0.5', 'G / 1 ML']]
37156|HLB PHARMA GROUP S.A.|SUERO GLUCOSADO HIPERTONICO AL 25%|SOLUCION INYECTABLE|100 AMPOLLA por 10 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||D-GLUCOSA ANHIDRA 0.25 G / 1 ML |[['D-GLUCOSA ANHIDRA', '0.25', 'G / 1 ML']]
37156|HLB PHARMA GROUP S.A.|SUERO GLUCOSADO HIPERTONICO AL 25%|SOLUCION INYECTABLE|50 AMPOLLA por 20 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||D-GLUCOSA ANHIDRA 0.25 G / 1 ML |[['D-GLUCOSA ANHIDRA', '0.25', 'G / 1 ML']]
37161|HLB PHARMA GROUP S.A.|SUERO FISIOLOGICO|SOLUCION INYECTABLE|100 AMPOLLA por 5 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||CLORURO SODICO 9 MG |[['CLORURO SODICO', '9', 'MG']]
37161|HLB PHARMA GROUP S.A.|SUERO FISIOLOGICO|SOLUCION INYECTABLE|100 AMPOLLA por 10 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||CLORURO SODICO 9 MG |[['CLORURO SODICO', '9', 'MG']]
37161|HLB PHARMA GROUP S.A.|SUERO FISIOLOGICO|SOLUCION INYECTABLE|100 AMPOLLA por 20 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||CLORURO SODICO 9 MG |[['CLORURO SODICO', '9', 'MG']]
37154|HLB PHARMA GROUP S.A.|SOLUCION DE CLORURO DE POTASIO AL 22%|SOLUCION INYECTABLE|100 AMPOLLA por 5 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||CLORURO POTASICO 1.1 G / 5 ML |[['CLORURO POTASICO', '1.1', 'G / 5 ML']]
37155|HLB PHARMA GROUP S.A.|GLUCONATO DE CALCIO AL 10 %|SOLUCION INYECTABLE|100 AMPOLLA por 10 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||GLUCONATO DE CALCIO 1 G / 10 ML |[['GLUCONATO DE CALCIO', '1', 'G / 10 ML']]
43622|HLB PHARMA GROUP S.A.|DEXAMETASONA  |SOLUCION INYECTABLE|100 AMPOLLA por 2 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||DEXAMETASONA FOSFATO 8 MG / 2 ML |[['DEXAMETASONA FOSFATO', '8', 'MG / 2 ML']]
37158|HLB PHARMA GROUP S.A.| ADRENALINA  RAMALLO|SOLUCION INYECTABLE|100 AMPOLLA por 1 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||ADRENALINA 1 MG / ML |[['ADRENALINA', '1', 'MG / ML']]
56724|HLB PHARMA GROUP S.A.|FARMBIOTIC|COMPRIMIDO RECUBIERTO| BLISTER por 7 UNIDADES ||0|0|0|0|0|0|0|07798081264109|LEVOFLOXACINA 500 MG |[['LEVOFLOXACINA', '500', 'MG']]
56724|HLB PHARMA GROUP S.A.|FARMBIOTIC|COMPRIMIDO RECUBIERTO| BLISTER por 14 UNIDADES ||0|0|0|0|0|0|0|07798081264116|LEVOFLOXACINA 500 MG |[['LEVOFLOXACINA', '500', 'MG']]
56724|HLB PHARMA GROUP S.A.|FARMBIOTIC|COMPRIMIDO RECUBIERTO| BLISTER por 1000 UNIDADES ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||LEVOFLOXACINA 500 MG |[['LEVOFLOXACINA', '500', 'MG']]
56724|HLB PHARMA GROUP S.A.|FARMBIOTIC|COMPRIMIDO RECUBIERTO| BLISTER por 10 UNIDADES ||0|0|0|0|0|0|0|07798081264130|LEVOFLOXACINA 750 MG |[['LEVOFLOXACINA', '750', 'MG']]
56724|HLB PHARMA GROUP S.A.|FARMBIOTIC|COMPRIMIDO RECUBIERTO| BLISTER por 1000 UNIDADES ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||LEVOFLOXACINA 750 MG |[['LEVOFLOXACINA', '750', 'MG']]
43356|HLB PHARMA GROUP S.A.|SOLUCION D-MANITOL 15 %|SOLUCION PARENTERAL DE GRAN VOLUMEN|8 BOLSA por 1000 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||D-MANITOL 15 G / 100 ML |[['D-MANITOL', '15', 'G / 100 ML']]
43356|HLB PHARMA GROUP S.A.|SOLUCION D-MANITOL 15 %|SOLUCION PARENTERAL DE GRAN VOLUMEN|15 BOLSA por 500 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||D-MANITOL 15 G / 100 ML |[['D-MANITOL', '15', 'G / 100 ML']]
43356|HLB PHARMA GROUP S.A.|SOLUCION D-MANITOL 15 %|SOLUCION PARENTERAL DE GRAN VOLUMEN|25 BOLSA por 250 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||D-MANITOL 15 G / 100 ML |[['D-MANITOL', '15', 'G / 100 ML']]
43356|HLB PHARMA GROUP S.A.|SOLUCION D-MANITOL 15 %|SOLUCION PARENTERAL DE GRAN VOLUMEN|50 BOLSA por 100 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||D-MANITOL 15 G / 100 ML |[['D-MANITOL', '15', 'G / 100 ML']]
39124|HLB PHARMA GROUP S.A.|SOLUCION MOLAR DE CLORURO DE POTASIO|SOLUCION INYECTABLE|50 ENVASE por 100 ML ||0|0|0|0|0|0|0||CLORURO POTASICO 7.45 G / 100 ML |[['CLORURO POTASICO', '7.45', 'G / 100 ML']]
41366|HLB PHARMA GROUP S.A.|SOLUCION MOLAR DE BICARBONATO DE SODIO|SOLUCION INYECTABLE|50 ENVASE por 100 ML ||0|0|0|0|0|0|0||SODIO BICARBONATO 8.4 G / 100 ML |[['SODIO BICARBONATO', '8.4', 'G / 100 ML']]
45610|HLB PHARMA GROUP S.A.|TRIMPOL|SOLUCIÓN PARA GOTAS| ENVASE por 20 ML ||0|0|0|0|0|0|0|07798081263904|METOCLOPRAMIDA 0.2 G / 100 ML |[['METOCLOPRAMIDA', '0.2', 'G / 100 ML']]
45610|HLB PHARMA GROUP S.A.|TRIMPOL|SOLUCIÓN PARA GOTAS|1 ENVASE por 20 ML ||0|0|0|0|0|0|0|07798081263911|METOCLOPRAMIDA 0.5 G / 100 ML |[['METOCLOPRAMIDA', '0.5', 'G / 100 ML']]
45610|HLB PHARMA GROUP S.A.|TRIMPOL|COMPRIMIDO| ENVASE por 250 UNIDADES ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||METOCLOPRAMIDA 10 MG |[['METOCLOPRAMIDA', '10', 'MG']]
45610|HLB PHARMA GROUP S.A.|TRIMPOL|COMPRIMIDO| ENVASE por 500 UNIDADES ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||METOCLOPRAMIDA 10 MG |[['METOCLOPRAMIDA', '10', 'MG']]
45610|HLB PHARMA GROUP S.A.|TRIMPOL|COMPRIMIDO| ENVASE por 1000 UNIDADES ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||METOCLOPRAMIDA 10 MG |[['METOCLOPRAMIDA', '10', 'MG']]
43297|HLB PHARMA GROUP S.A.|AGUA DESTILADA ESTERIL PARA IRRIGACION QUIRURGICA|INYECTABLE|4 BOLSA por 1000 ML ||0|0|0|0|0|0|0||AGUA DESTILADA ESTERIL 100 ML |[['AGUA DESTILADA ESTERIL', '100', 'ML']]
43297|HLB PHARMA GROUP S.A.|AGUA DESTILADA ESTERIL PARA IRRIGACION QUIRURGICA|INYECTABLE|8 BOLSA por 1000 ML ||0|0|0|0|0|0|0||AGUA DESTILADA ESTERIL 100 ML |[['AGUA DESTILADA ESTERIL', '100', 'ML']]
43297|HLB PHARMA GROUP S.A.|AGUA DESTILADA ESTERIL PARA IRRIGACION QUIRURGICA|INYECTABLE|2 BOLSA por 2000 ML ||0|0|0|0|0|0|0||AGUA DESTILADA ESTERIL 100 ML |[['AGUA DESTILADA ESTERIL', '100', 'ML']]
43297|HLB PHARMA GROUP S.A.|AGUA DESTILADA ESTERIL PARA IRRIGACION QUIRURGICA|INYECTABLE|4 BOLSA por 2000 ML ||0|0|0|0|0|0|0||AGUA DESTILADA ESTERIL 100 ML |[['AGUA DESTILADA ESTERIL', '100', 'ML']]
50481|HLB PHARMA GROUP S.A.|IBUPROFENO RAMALLO|SOLUCION INYECTABLE|100 AMPOLLA por 3 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||IBUPROFENO 400 MG / 3 ML |[['IBUPROFENO', '400', 'MG / 3 ML']]
38740|HLB PHARMA GROUP S.A.|OMEPRASEC|CAPSULA DURA| BLISTER por 750 UNIDADES ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||OMEPRAZOL 20 MG |[['OMEPRAZOL', '20', 'MG']]
38740|HLB PHARMA GROUP S.A.|OMEPRASEC|CAPSULA DURA| BLISTER por 1500 UNIDADES ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||OMEPRAZOL 20 MG |[['OMEPRAZOL', '20', 'MG']]
38740|HLB PHARMA GROUP S.A.|OMEPRASEC|CAPSULA DURA| BLISTER por 3000 UNIDADES ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||OMEPRAZOL 20 MG |[['OMEPRAZOL', '20', 'MG']]
38740|HLB PHARMA GROUP S.A.|OMEPRASEC|CAPSULA DURA| BLISTER por 750 UNIDADES ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||OMEPRAZOL 40 MG |[['OMEPRAZOL', '40', 'MG']]
38740|HLB PHARMA GROUP S.A.|OMEPRASEC|CAPSULA DURA| BLISTER por 1500 UNIDADES ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||OMEPRAZOL 40 MG |[['OMEPRAZOL', '40', 'MG']]
38740|HLB PHARMA GROUP S.A.|OMEPRASEC|CAPSULA DURA| BLISTER por 3000 UNIDADES ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||OMEPRAZOL 40 MG |[['OMEPRAZOL', '40', 'MG']]
55684|HLB PHARMA GROUP S.A.|IFOSFAMIDA MR PHARMA|POLVO LIOFILIZADO PARA INYECTABLE|50 FRASCO AMPOLLA por 1 G de IFOSFAMIDA||0|0|0|0| (uso exclusivamente hospitalario)|0|0||IFOSFAMIDA 1 G |[['IFOSFAMIDA', '1', 'G']]
55684|HLB PHARMA GROUP S.A.|IFOSFAMIDA MR PHARMA|POLVO LIOFILIZADO PARA INYECTABLE|100 FRASCO AMPOLLA por 1 G de IFOSFAMIDA||0|0|0|0| (uso exclusivamente hospitalario)|0|0||IFOSFAMIDA 1 G |[['IFOSFAMIDA', '1', 'G']]
56724|HLB PHARMA GROUP S.A.|FARMBIOTIC|SOLUCION INYECTABLE|50 ENVASE por 100 ML ||0|0|0| (uso exclusivamente hospitalario - no venta al público)|0|0|0||LEVOFLOXACINA 5 MG / ML |[['LEVOFLOXACINA', '5', 'MG / ML']]
36664|HLB PHARMA GROUP S.A.|SOLUCIÓN DE LIDOCAINA AL 2%|SOLUCION INYECTABLE|50 AMPOLLA por 5 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||LIDOCAINA CLORHIDRATO 2 G / 100 ML |[['LIDOCAINA CLORHIDRATO', '2', 'G / 100 ML']]
48825|HLB PHARMA GROUP S.A.|AMINOFILINA HLB|SOLUCION INYECTABLE|100 AMPOLLA por 10 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||AMINOFILINA 240 MG / 10 ML |[['AMINOFILINA', '240', 'MG / 10 ML']]
37160|HLB PHARMA GROUP S.A.|AGUA DESTILADA HLB|SOLUCION INYECTABLE|100 AMPOLLA por 5 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||AGUA DESTILADA APIROGENA 100 % |[['AGUA DESTILADA APIROGENA', '100', '%']]
37159|HLB PHARMA GROUP S.A.|ATROPINA 1 %o HLB|INYECTABLE|100 AMPOLLA por 1 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||ATROPINA SULFATO 1 MG / ML |[['ATROPINA SULFATO', '1', 'MG / ML']]
46970|HLB PHARMA GROUP S.A.|SULFATO DE MAGNESIO 25 %  HLB|INYECTABLE|100 AMPOLLA por 5 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||SULFATO DE MAGNESIO HEPTAHIDRATADO 1.25 G / 5 ML |[['SULFATO DE MAGNESIO HEPTAHIDRATADO', '1.25', 'G / 5 ML']]
56360|HLB PHARMA GROUP S.A.|SOLUCION DE CLORURO DE SODIO HIPERTONICA HLB|SOLUCION INYECTABLE|100 AMPOLLA por 10 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||CLORURO SODICO 0.2 G |[['CLORURO SODICO', '0.2', 'G']]
55696|HLB PHARMA GROUP S.A.|SOLUCION RINGER CON LACTATO HLB|SOLUCION PARENTERAL DE GRAN VOLUMEN|15 ENVASE por 500 ML ||0|0|0|0|0|0|0||CLORURO DE POTASIO 0.03 G / 100 ML + CLORURO DE SODIO 0.6 G / 100 ML + CLORURO DE CALCIO DIHIDRATADO...|[['CLORURO DE POTASIO', '0.03', 'G / 100 ML'], ['CLORURO DE SODIO', '0.6', 'G / 100 ML'], ['CLORURO DE CALCIO DIHIDRATADO', '0.02', 'G / 100 ML'], ['LACTATO DE SODIO', '0.31', 'G / 100 ML']]
47362|HLB PHARMA GROUP S.A.|SOLVENTE INDOLORO HLB|SOLUCION INYECTABLE|100 AMPOLLA por 5 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||LIDOCAINA CLORHIDRATO 50 MG / 5 ML |[['LIDOCAINA CLORHIDRATO', '50', 'MG / 5 ML']]
56961|HLB PHARMA GROUP S.A.|CIPROFLOXACINA HLB|SOLUCION INYECTABLE|48 ENVASE por 100 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||CIPROFLOXACINA 200 MG / 100 ML |[['CIPROFLOXACINA', '200', 'MG / 100 ML']]
54582|HLB PHARMA GROUP S.A.|DEXACNE|CAPSULA DURA| BLISTER por 16 UNIDADES ||0|0|0|0|0|0|0|07798081264857|CLINDAMICINA 300 MG |[['CLINDAMICINA', '300', 'MG']]
54582|HLB PHARMA GROUP S.A.|DEXACNE|CAPSULA DURA| BLISTER por 120 UNIDADES ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||CLINDAMICINA 300 MG |[['CLINDAMICINA', '300', 'MG']]
54582|HLB PHARMA GROUP S.A.|DEXACNE|CAPSULA DURA| BLISTER por 1000 UNIDADES ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||CLINDAMICINA 300 MG |[['CLINDAMICINA', '300', 'MG']]
59449|HLB PHARMA GROUP S.A.|MIDAZOLAM HLB PHARMA|SOLUCION INYECTABLE|5 AMPOLLA por 3 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||MIDAZOLAM 15 MG / 3 ML |[['MIDAZOLAM', '15', 'MG / 3 ML']]
59449|HLB PHARMA GROUP S.A.|MIDAZOLAM HLB PHARMA|SOLUCION INYECTABLE|50 AMPOLLA por 3 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||MIDAZOLAM 15 MG / 3 ML |[['MIDAZOLAM', '15', 'MG / 3 ML']]
59449|HLB PHARMA GROUP S.A.|MIDAZOLAM HLB PHARMA|SOLUCION INYECTABLE|100 AMPOLLA por 3 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||MIDAZOLAM 15 MG / 3 ML |[['MIDAZOLAM', '15', 'MG / 3 ML']]
45580|HLB PHARMA GROUP S.A.|ERITROVIS|COMPRIMIDO RECUBIERTO| ENVASE por 250 UNIDADES ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||ERITROMICINA 250 MG |[['ERITROMICINA', '250', 'MG']]
45580|HLB PHARMA GROUP S.A.|ERITROVIS|COMPRIMIDO RECUBIERTO| ENVASE por 500 UNIDADES ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||ERITROMICINA 250 MG |[['ERITROMICINA', '250', 'MG']]
45580|HLB PHARMA GROUP S.A.|ERITROVIS|COMPRIMIDO RECUBIERTO| ENVASE por 1000 UNIDADES ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||ERITROMICINA 250 MG |[['ERITROMICINA', '250', 'MG']]
45580|HLB PHARMA GROUP S.A.|ERITROVIS|COMPRIMIDO RECUBIERTO| ENVASE por 16 UNIDADES ||0|0|0|0|0|0|0|07798081263874|ERITROMICINA 500 MG |[['ERITROMICINA', '500', 'MG']]
45580|HLB PHARMA GROUP S.A.|ERITROVIS|COMPRIMIDO RECUBIERTO| ENVASE por 250 UNIDADES ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||ERITROMICINA 500 MG |[['ERITROMICINA', '500', 'MG']]
45580|HLB PHARMA GROUP S.A.|ERITROVIS|COMPRIMIDO RECUBIERTO| ENVASE por 500 UNIDADES ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||ERITROMICINA 500 MG |[['ERITROMICINA', '500', 'MG']]
45580|HLB PHARMA GROUP S.A.|ERITROVIS|COMPRIMIDO RECUBIERTO| ENVASE por 1000 UNIDADES ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||ERITROMICINA 500 MG |[['ERITROMICINA', '500', 'MG']]
54152|HLB PHARMA GROUP S.A.|KETOROLAC HLB|INYECTABLE|100 AMPOLLA por 1 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||KETOROLACO 30 MG / ML |[['KETOROLACO', '30', 'MG / ML']]
53100|HLB PHARMA GROUP S.A.|FENTANILO HLB|SOLUCION INYECTABLE|100 AMPOLLA por 2 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||FENTANILO 100 MCG / 2 ML |[['FENTANILO', '100', 'MCG / 2 ML']]
45698|HLB PHARMA GROUP S.A.|APROCOM|CAPSULA DURA| BLISTER por 60 UNIDADES ||0|0|0|0|0|0|0|07798081263461|FENITOINA SODICO 100 MG |[['FENITOINA SODICO', '100', 'MG']]
45698|HLB PHARMA GROUP S.A.|APROCOM|CAPSULA DURA| BLISTER por 100 UNIDADES ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||FENITOINA SODICO 100 MG |[['FENITOINA SODICO', '100', 'MG']]
45698|HLB PHARMA GROUP S.A.|APROCOM|CAPSULA DURA| BLISTER por 250 UNIDADES ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||FENITOINA SODICO 100 MG |[['FENITOINA SODICO', '100', 'MG']]
45698|HLB PHARMA GROUP S.A.|APROCOM|CAPSULA DURA| BLISTER por 500 UNIDADES ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||FENITOINA SODICO 100 MG |[['FENITOINA SODICO', '100', 'MG']]
45698|HLB PHARMA GROUP S.A.|APROCOM|CAPSULA DURA| BLISTER por 1000 UNIDADES ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||FENITOINA SODICO 100 MG |[['FENITOINA SODICO', '100', 'MG']]
45698|HLB PHARMA GROUP S.A.|APROCOM|SOLUCION INYECTABLE|100 FRASCO AMPOLLA por 2 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||FENITOINA SODICO 100 MG / 2 ML |[['FENITOINA SODICO', '100', 'MG / 2 ML']]
45580|HLB PHARMA GROUP S.A.|ERITROVIS|SUSPENSION ORAL| ENVASE por 60 ML ||0|0|0|0|0|0|0|07798081260606|ERITROMICINA 8 G / 100 ML |[['ERITROMICINA', '8', 'G / 100 ML']]
52922|HLB PHARMA GROUP S.A.|DICLOFENAC HLB|SOLUCION INYECTABLE|100 AMPOLLA por 3 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||DICLOFENACO SODICO 75 MG / 3 ML |[['DICLOFENACO SODICO', '75', 'MG / 3 ML']]
45610|HLB PHARMA GROUP S.A.|TRIMPOL|INYECTABLE PARA PERFUSION|3 AMPOLLA por 2 ML ||0|0|0|0|0|0|0|07798081263928|METOCLOPRAMIDA 10 MG / 2 ML |[['METOCLOPRAMIDA', '10', 'MG / 2 ML']]
45610|HLB PHARMA GROUP S.A.|TRIMPOL|INYECTABLE PARA PERFUSION|100 AMPOLLA por 2 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||METOCLOPRAMIDA 10 MG / 2 ML |[['METOCLOPRAMIDA', '10', 'MG / 2 ML']]
45610|HLB PHARMA GROUP S.A.|TRIMPOL|INYECTABLE PARA PERFUSION|1000 AMPOLLA por 2 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||METOCLOPRAMIDA 10 MG / 2 ML |[['METOCLOPRAMIDA', '10', 'MG / 2 ML']]
45610|HLB PHARMA GROUP S.A.|TRIMPOL|INYECTABLE PARA PERFUSION|6 AMPOLLA por 2 ML ||0|0|0|0|0|0|0|07798081263959|METOCLOPRAMIDA 10 MG / 2 ML |[['METOCLOPRAMIDA', '10', 'MG / 2 ML']]
45610|HLB PHARMA GROUP S.A.|TRIMPOL|INYECTABLE PARA PERFUSION|250 AMPOLLA por 2 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||METOCLOPRAMIDA 10 MG / 2 ML |[['METOCLOPRAMIDA', '10', 'MG / 2 ML']]
45610|HLB PHARMA GROUP S.A.|TRIMPOL|INYECTABLE PARA PERFUSION|500 AMPOLLA por 2 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||METOCLOPRAMIDA 10 MG / 2 ML |[['METOCLOPRAMIDA', '10', 'MG / 2 ML']]
43292|HLB PHARMA GROUP S.A.|MORFINA AL 1 % HLB|SOLUCION INYECTABLE|100 AMPOLLA por 1 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||MORFINA CLORHIDRATO TRIHIDRATO 1 G / 100 ML |[['MORFINA CLORHIDRATO TRIHIDRATO', '1', 'G / 100 ML']]
43292|HLB PHARMA GROUP S.A.|MORFINA AL 1 % HLB|SOLUCION INYECTABLE|100 AMPOLLA por 2 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||MORFINA CLORHIDRATO TRIHIDRATO 1 G / 100 ML |[['MORFINA CLORHIDRATO TRIHIDRATO', '1', 'G / 100 ML']]
43292|HLB PHARMA GROUP S.A.|MORFINA AL 2 % HLB|SOLUCION INYECTABLE|100 AMPOLLA por 2 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||MORFINA CLORHIDRATO TRIHIDRATO 2 G / 100 ML |[['MORFINA CLORHIDRATO TRIHIDRATO', '2', 'G / 100 ML']]
43292|HLB PHARMA GROUP S.A.|MORFINA AL 2 % HLB|SOLUCION INYECTABLE|100 AMPOLLA por 1 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||MORFINA CLORHIDRATO TRIHIDRATO 2 G / 100 ML |[['MORFINA CLORHIDRATO TRIHIDRATO', '2', 'G / 100 ML']]
54152|HLB PHARMA GROUP S.A.|KPAN|INYECTABLE|3 AMPOLLA por 1 ML ||0|0|0|0|0|0|0|07798081265076|KETOROLACO 30 MG / ML |[['KETOROLACO', '30', 'MG / ML']]
48294|HLB PHARMA GROUP S.A.|IODOPOVIDONA APOLO|SOLUCION TOPICA| ENVASE por 1000 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||IODOPOVIDONA 10 G / 100 ML |[['IODOPOVIDONA', '10', 'G / 100 ML']]
48294|HLB PHARMA GROUP S.A.|IODOPOVIDONA APOLO|SOLUCION TOPICA| ENVASE por 5000 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||IODOPOVIDONA 10 G / 100 ML |[['IODOPOVIDONA', '10', 'G / 100 ML']]
48294|HLB PHARMA GROUP S.A.|IODOPOVIDONA APOLO|SOLUCION TOPICA| ENVASE por 10000 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||IODOPOVIDONA 10 G / 100 ML |[['IODOPOVIDONA', '10', 'G / 100 ML']]
45609|HLB PHARMA GROUP S.A.|SALBUTAMOL LEMAX|SOLUCION PARA NEBULIZACION| FRASCO GOTERO por 20 ML ||0|0|0|0|0|0|0|07798081264482|SALBUTAMOL SULFATO 500 MG / 100 ML |[['SALBUTAMOL SULFATO', '500', 'MG / 100 ML']]
45696|HLB PHARMA GROUP S.A.|HIDROCORTISONA|INYECTABLE PARA PERFUSION|100 FRASCO AMPOLLA por 500 MG HIDROCORTISONA + 100 AMPOLLAS DISOLVENTE (10 ML)||0|0|0|0| (uso exclusivamente hospitalario)|0|0||HIDROCORTISONA 500 MG |[['HIDROCORTISONA', '500', 'MG']]
45696|HLB PHARMA GROUP S.A.|HIDROCORTISONA|INYECTABLE PARA PERFUSION|500 FRASCO AMPOLLA por 500 MG HIDROCORTISONA + 500 AMPOLLAS DISOLVENTE (10 ML)||0|0|0|0| (uso exclusivamente hospitalario)|0|0||HIDROCORTISONA 500 MG |[['HIDROCORTISONA', '500', 'MG']]
48277|HLB PHARMA GROUP S.A.|AGUA OXIGENADA HLB|SOLUCION TOPICA| ENVASE por 500 ML ||0|0|0|0|0|0|0|07798081263980|PEROXIDO DE HIDROGENO 3 G % |[['PEROXIDO DE HIDROGENO', '3', 'G %']]
48277|HLB PHARMA GROUP S.A.|AGUA OXIGENADA HLB|SOLUCION TOPICA| ENVASE por 1000 ML ||0|0|0|0|0|0|0|07798081263997|PEROXIDO DE HIDROGENO 3 G % |[['PEROXIDO DE HIDROGENO', '3', 'G %']]
48277|HLB PHARMA GROUP S.A.|AGUA OXIGENADA HLB|SOLUCION TOPICA| ENVASE por 5000 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||PEROXIDO DE HIDROGENO 3 G % |[['PEROXIDO DE HIDROGENO', '3', 'G %']]
48277|HLB PHARMA GROUP S.A.|AGUA OXIGENADA HLB|SOLUCION TOPICA| ENVASE por 10000 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||PEROXIDO DE HIDROGENO 3 G % |[['PEROXIDO DE HIDROGENO', '3', 'G %']]
36667|HLB PHARMA GROUP S.A.|SOLUCION LIDOCAINA AL 2 % CON EPINEFRINA|SOLUCION INYECTABLE|50 FRASCO AMPOLLA por 20 ML ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||LIDOCAINA CLORHIDRATO 2 G / 100 ML + EPINEFRINA 500 MCG / 100 ML |[['LIDOCAINA CLORHIDRATO', '2', 'G / 100 ML'], ['EPINEFRINA', '500', 'MCG / 100 ML']]
53611|HLB PHARMA GROUP S.A.|MUTIX|CREMA DERMICA|100 POMO por 20 G ||0|0|0|0| (uso exclusivamente hospitalario)|0|0||MUPIROCINA 2 G / 100 G |[['MUPIROCINA', '2', 'G / 100 G']]
